no.,CODE,Country
1,af,Afrikaans
2,sq,Albanian
3,am,Amharic
4,ar,Arabic
5,hy,Armenian
6,as,Assamese
7,az,Azeri
8,eu,Basque
9,be,Belarusian
10,bn,Bengali
11,bs,Bosnian
12,bg,Bulgarian
13,my,Burmese
14,ca,Catalan
15,zh,Chinese
16,hr,Croatian
17,cs,Czech
18,da,Danish
19,dv,Maldivian
20,nl,Dutch
21,en,English
22,et,Estonian
23,fo,Faroese
24,fa,Farsi
25,fi,Finnish
26,fr,French
27,mk,Macedonia
28,gd,Gaelic
29,gl,Galician
30,ka,Georgian
31,de,German
32,el,Greek
33,gn,Guarani
34,gu,Gujarati
35,he,Hebrew
36,hi,Hindi
37,hu,Hungarian
38,is,Icelandic
39,id,Indonesian
40,it,Italian
41,ja,Japanese
42,kn,Kannada
43,ks,Kashmiri
44,kk,Kazakh
45,km,Khmer
46,ko,Korean
47,lo,Lao
48,la,Latin
49,lv,Latvian
50,lt,Lithuanian
51,ms,Malay
52,ml,Malayalam
53,mt,Maltese
54,mi,Maori
55,mr,Marathi
56,mn,Mongolian
57,ne,Nepali
58,nb,Norwegian-Bokml
59,nn,Norwegian-Nynorsk
60,or,Oriya
61,pl,Polish
62,pt,Portuguese
63,pa,Punjabi
64,rm,Raeto-Romance
65,ro,Romanian
66,ru,Russian
67,sa,Sanskrit
68,sr,Serbian
69,tn,Setsuana
70,sd,Sindhi
71,si,Sinhalese  
72,sk,Slovak
73,sl,Slovenian
74,so,Somali
75,sb,Sorbian
76,es,Spanish
77,sw,Swahili
78,sv,Swedish
79,tg,Tajik
80,ta,Tamil
81,tt,Tatar
82,te,Telugu
83,th,Thai
84,bo,Tibetan
85,ts,Tsonga
86,tr,Turkish
87,tk,Turkmen
88,uk,Ukrainian
89,ur,Urdu
90,uz,Uzbek
91,vi,Vietnamese
92,cy,Welsh
93,xh,Xhosa
94,yi,Yiddish
95,zu,Zulu
